[01:35:38] [INFO] [1779730538.359832]: [TRACK] 球(+0.68, 0.72) v=(+0.00, -0.01) | 機器人X=-0.00 誤差=+0.45 | 速度=+0.22 θ=+0.161
[01:35:38] [INFO] [1779730538.560191]: [TRACK] 球(+0.68, 0.73) v=(+0.02, +0.01) | 機器人X=+0.06 誤差=+0.39 | 速度=+0.22 θ=+0.097
[01:35:38] [INFO] [1779730538.810142]: [TRACK] 球(+0.71, 0.75) v=(+0.05, +0.04) | 機器人X=+0.16 誤差=+0.29 | 速度=+0.22 θ=+0.064
[01:35:39] [INFO] [1779730539.011120]: [TRACK] 球(+0.74, 0.76) v=(+0.08, +0.04) | 機器人X=+0.23 誤差=+0.22 | 速度=+0.22 θ=+0.054
[01:35:39] [INFO] [1779730539.260495]: [TRACK] 球(+0.77, 0.76) v=(+0.10, +0.02) | 機器人X=+0.30 誤差=+0.15 | 速度=+0.22 θ=+0.026
[01:35:39] [INFO] [1779730539.509940]: [TRACK] 球(+0.81, 0.73) v=(+0.11, -0.01) | 機器人X=+0.40 誤差=+0.05 | 速度=+0.10 θ=-0.036
[01:35:40] [0m[33m[WARN] [1779730540.159135]: [Fusion] 球消失超過 0.5 秒，進入 LOST 模式（EKF 繼續預測）
[01:35:40] [INFO] [1779730540.203493]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.53 誤差=-0.08
[01:35:40] [INFO] [1779730540.703551]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.51 誤差=-0.96
[01:35:41] [0m[33m[WARN] [1779730541.208400]: [Fusion] 球消失超過 1.5 秒，重置 EKF
[01:35:41] [INFO] [1779730541.303512]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.46 誤差=-0.91
[01:35:41] [INFO] [1779730541.903430]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.27 誤差=-0.72
[01:35:42] [INFO] [1779730542.503052]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.07 誤差=-0.52
[01:35:43] [INFO] [1779730543.003649]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.09 誤差=-0.36
[01:35:43] [INFO] [1779730543.603280]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.25 誤差=-0.20
